iter	Logloss
0	0.6722215423
1	0.6537614949
2	0.6383039777
3	0.6248052008
4	0.611695999
5	0.5991491307
6	0.5876433932
7	0.5778536934
8	0.5681149584
9	0.5599799928
10	0.5522886395
11	0.5452150781
12	0.5392812192
13	0.5334533931
14	0.5285503294
15	0.5241800974
16	0.5197158779
17	0.5157162164
18	0.5117964139
19	0.5090157344
20	0.5054046742
21	0.5026619197
22	0.4999423307
23	0.4977514194
24	0.4956279445
25	0.493451048
26	0.491490839
27	0.489770464
28	0.4878977806
29	0.4862536945
30	0.4843298187
31	0.4829259577
32	0.4814459129
33	0.4800325173
34	0.4786524323
35	0.4774733365
36	0.4763991045
37	0.4753712798
38	0.4743365691
39	0.4733742662
40	0.4722749316
41	0.4712054885
42	0.4701873037
43	0.4694017812
44	0.4687061377
45	0.4676562629
46	0.4669383362
47	0.4660775007
48	0.4654079613
49	0.4646463976
50	0.4639620071
51	0.463377298
52	0.4627710716
53	0.4620952488
54	0.4615541816
55	0.460894416
56	0.4604022229
57	0.4598713713
58	0.4592758016
59	0.4588120649
60	0.4582899637
61	0.4578512415
62	0.4574331062
63	0.4569575252
64	0.4566467452
65	0.4562527971
66	0.4557279791
67	0.4551600752
68	0.4546636987
69	0.4542236075
70	0.4537318408
71	0.4532835812
72	0.4529423844
73	0.4525759742
74	0.4522302218
75	0.4519411734
76	0.4515584862
77	0.4511679532
78	0.4509042036
79	0.4505183915
80	0.4501250646
81	0.4498186131
82	0.4495644284
83	0.4492155971
84	0.4488563926
85	0.4485504606
86	0.4483599508
87	0.4481013889
88	0.4476143305
89	0.4473506727
90	0.4470332339
91	0.4466774679
92	0.4464242577
93	0.4461184488
94	0.4457980405
95	0.4455955676
96	0.4453885571
97	0.4451414727
98	0.4448978609
99	0.4446496168
100	0.4444358477
101	0.4441354967
102	0.443959099
103	0.4436609852
104	0.4434318677
105	0.4432395878
106	0.442996705
107	0.4426732152
108	0.4423892502
109	0.4422074443
110	0.442012415
111	0.4417775445
112	0.4414349273
113	0.4411495132
114	0.4409892706
115	0.4407949489
116	0.4405417575
117	0.4402280856
118	0.4400179178
119	0.4397816631
120	0.4396070107
121	0.4393523288
122	0.4391696224
123	0.4389102228
124	0.4387215042
125	0.4385722125
126	0.4382425303
127	0.4380589933
128	0.4378956197
129	0.4376865001
130	0.4375200061
131	0.4373650814
132	0.4372281876
133	0.4370839797
134	0.4368847513
135	0.4367573909
136	0.4366383308
137	0.4364763843
138	0.4362797303
139	0.4360605281
140	0.4359078231
141	0.4357084601
142	0.4354695897
143	0.4353562024
144	0.4352289962
145	0.4350756854
146	0.434831308
147	0.4346458679
148	0.4343625596
149	0.4341475646
150	0.4340130505
151	0.4338036738
152	0.4336926197
153	0.4335331498
154	0.4332930897
155	0.4331691201
156	0.4329293733
157	0.4327819564
158	0.4326277694
159	0.4325130475
160	0.432377247
161	0.4322663493
162	0.4320818833
163	0.4319175401
164	0.431753133
165	0.4315326549
166	0.4313933414
167	0.4312026208
168	0.4310823748
169	0.4309536361
170	0.4308625512
171	0.4307312905
172	0.430614051
173	0.430416474
174	0.4303011739
175	0.4301561002
176	0.429970277
177	0.4298465582
178	0.4297236038
179	0.4295924598
180	0.4294585664
181	0.4293851217
182	0.4292532202
183	0.4291392197
184	0.4289838703
185	0.4288678362
186	0.4287180721
187	0.4285421674
188	0.4283656736
189	0.4281762413
190	0.4280147556
191	0.4279009645
192	0.4277073995
193	0.427564421
194	0.4274614168
195	0.4273366899
196	0.4272812126
197	0.4271623246
198	0.4270657893
199	0.4269141278
200	0.4267814161
201	0.4266414426
202	0.4265364873
203	0.4264015641
204	0.4262758454
205	0.4261982576
206	0.4260667019
207	0.4260099781
208	0.4258524275
209	0.4257517728
210	0.4256249282
211	0.4255107653
212	0.4253733806
213	0.4252665947
214	0.4251732283
215	0.4250128318
216	0.4249072469
217	0.4247781245
218	0.424699278
219	0.4245613854
220	0.42448052
221	0.4243422661
222	0.4242175278
223	0.4241187831
224	0.4239931431
225	0.4238845014
226	0.4237656845
227	0.4236330202
228	0.4234883859
229	0.4233838773
230	0.4232957461
231	0.4231822676
232	0.4230520154
233	0.4229704496
234	0.4228112876
235	0.4226973634
236	0.4225587932
237	0.4224227223
238	0.4222465127
239	0.4220916356
240	0.4219207846
241	0.4218072769
242	0.4216791202
243	0.421500044
244	0.4213631575
245	0.4211823421
246	0.4210581037
247	0.4209254558
248	0.420817306
249	0.4207213104
250	0.4206493794
251	0.4205245163
252	0.4203590473
253	0.4202375543
254	0.4201327914
255	0.4200106952
256	0.4198749662
257	0.4197339673
258	0.4196205672
259	0.419485984
260	0.4193239561
261	0.4191655324
262	0.4190090574
263	0.4188217738
264	0.418698045
265	0.4185706342
266	0.4184496999
267	0.4182802155
268	0.4181643503
269	0.4180201786
270	0.4178709042
271	0.4177312081
272	0.4176150151
273	0.4174678367
274	0.4173372948
275	0.4172622252
276	0.4171545982
277	0.4170141519
278	0.4168414409
279	0.4167270159
280	0.4165811129
281	0.416472381
282	0.4163246254
283	0.4162055692
284	0.4160881268
285	0.4159389963
286	0.4158586288
287	0.4156883531
288	0.4155437237
289	0.4154060372
290	0.4152650557
291	0.4151865011
292	0.415020668
293	0.4148263021
294	0.4146842919
295	0.4145881781
296	0.4144854013
297	0.414410842
298	0.4143342138
299	0.4142266876
