iter	Passed	Remaining
0	199	59506
1	235	35038
2	274	27202
3	312	23134
4	355	20967
5	394	19340
6	449	18831
7	503	18379
8	552	17868
9	607	17617
10	744	19555
11	825	19805
12	923	20385
13	981	20055
14	1056	20074
15	1123	19945
16	1187	19768
17	1237	19383
18	1279	18923
19	1327	18590
20	1374	18258
21	1417	17914
22	1460	17584
23	1512	17388
24	1569	17265
25	1622	17100
26	1671	16901
27	1720	16711
28	1771	16551
29	1826	16438
30	1876	16284
31	1919	16072
32	1963	15885
33	2014	15763
34	2085	15788
35	2148	15752
36	2193	15590
37	2239	15437
38	2284	15289
39	2338	15203
40	2389	15095
41	2433	14948
42	2475	14797
43	2512	14618
44	2561	14512
45	2603	14374
46	2646	14248
47	2690	14125
48	2738	14030
49	2783	13919
50	2826	13799
51	2868	13681
52	2910	13562
53	2948	13434
54	2984	13294
55	3021	13166
56	3059	13043
57	3100	12936
58	3141	12833
59	3181	12727
60	3221	12623
61	3261	12520
62	3301	12421
63	3339	12315
64	3379	12218
65	3416	12112
66	3455	12017
67	3493	11919
68	3530	11818
69	3572	11737
70	3613	11655
71	3655	11574
72	3694	11487
73	3735	11407
74	3773	11321
75	3811	11234
76	3850	11151
77	3886	11062
78	3919	10964
79	3955	10878
80	3992	10794
81	4033	10722
82	4072	10648
83	4113	10578
84	4153	10506
85	4198	10446
86	4242	10387
87	4285	10325
88	4329	10263
89	4368	10193
90	4408	10124
91	4448	10057
92	4485	9983
93	4525	9916
94	4565	9850
95	4601	9777
96	4634	9699
97	4666	9618
98	4701	9544
99	4737	9474
100	4774	9408
101	4814	9346
102	4854	9284
103	4893	9222
104	4930	9157
105	4965	9087
106	5004	9026
107	5045	8969
108	5085	8910
109	5119	8843
110	5153	8774
111	5188	8709
112	5224	8645
113	5260	8583
114	5295	8518
115	5330	8455
116	5371	8401
117	5410	8344
118	5446	8283
119	5488	8232
120	5532	8184
121	5575	8135
122	5611	8075
123	5644	8012
124	5678	7949
125	5712	7888
126	5747	7829
127	5780	7768
128	5815	7709
129	5849	7649
130	5881	7588
131	5919	7533
132	5951	7472
133	5991	7422
134	6030	7371
135	6065	7313
136	6096	7253
137	6131	7197
138	6171	7147
139	6210	7097
140	6250	7048
141	6288	6996
142	6323	6942
143	6356	6886
144	6392	6833
145	6425	6777
146	6465	6729
147	6502	6678
148	6543	6631
149	6584	6584
150	6618	6531
151	6653	6478
152	6686	6424
153	6721	6372
154	6755	6319
155	6789	6266
156	6821	6212
157	6855	6161
158	6889	6109
159	6923	6057
160	6961	6010
161	7000	5963
162	7034	5912
163	7072	5865
164	7112	5819
165	7147	5769
166	7181	5719
167	7214	5668
168	7248	5618
169	7284	5570
170	7317	5520
171	7352	5471
172	7387	5422
173	7424	5376
174	7461	5329
175	7504	5287
176	7542	5241
177	7579	5194
178	7613	5146
179	7648	5098
180	7692	5057
181	7725	5008
182	7762	4962
183	7797	4915
184	7832	4868
185	7876	4827
186	7917	4784
187	7957	4740
188	7998	4697
189	8042	4656
190	8080	4611
191	8116	4565
192	8150	4518
193	8185	4472
194	8219	4425
195	8252	4378
196	8284	4331
197	8316	4284
198	8348	4237
199	8384	4192
200	8420	4147
201	8458	4103
202	8498	4060
203	8543	4020
204	8578	3975
205	8609	3928
206	8641	3882
207	8670	3835
208	8701	3788
209	8729	3741
210	8761	3695
211	8791	3649
212	8824	3604
213	8854	3558
214	8886	3513
215	8923	3470
216	8960	3427
217	8996	3383
218	9032	3340
219	9069	3297
220	9106	3255
221	9139	3211
222	9174	3167
223	9206	3123
224	9239	3079
225	9274	3036
226	9306	2992
227	9341	2949
228	9380	2908
229	9418	2866
230	9461	2826
231	9500	2784
232	9538	2742
233	9573	2700
234	9612	2658
235	9652	2617
236	9692	2576
237	9729	2534
238	9764	2492
239	9802	2450
240	9836	2408
241	9869	2365
242	9909	2324
243	9948	2283
244	9990	2242
245	10031	2201
246	10067	2160
247	10104	2118
248	10141	2077
249	10176	2035
250	10214	1994
251	10252	1952
252	10287	1911
253	10320	1869
254	10356	1827
255	10391	1786
256	10428	1744
257	10469	1704
258	10504	1662
259	10540	1621
260	10577	1580
261	10614	1539
262	10650	1498
263	10698	1458
264	10746	1419
265	10801	1380
266	10846	1340
267	10886	1299
268	10927	1259
269	10974	1219
270	11021	1179
271	11060	1138
272	11098	1097
273	11137	1056
274	11175	1015
275	11214	975
276	11250	934
277	11288	893
278	11324	852
279	11365	811
280	11407	771
281	11449	730
282	11494	690
283	11534	649
284	11573	609
285	11611	568
286	11646	527
287	11684	486
288	11723	446
289	11767	405
290	11809	365
291	11846	324
292	11881	283
293	11948	243
294	12029	203
295	12067	163
296	12106	122
297	12143	81
298	12180	40
299	12216	0
